original_row,source,rel,target
14152,Disease::DOID:0060119,PRESENTS,Symptom::D006314
14153,Disease::DOID:10652,PRESENTS,Symptom::D000849
14154,Disease::DOID:10534,PRESENTS,Symptom::D056865
14155,Disease::DOID:1324,PRESENTS,Symptom::D007040
14156,Disease::DOID:1725,PRESENTS,Symptom::D003085
14157,Disease::DOID:13241,PRESENTS,Symptom::D014786
14158,Disease::DOID:594,PRESENTS,Symptom::D000472
14159,Disease::DOID:7148,PRESENTS,Symptom::D009133
14160,Disease::DOID:10871,PRESENTS,Symptom::D005130
14161,Disease::DOID:14004,PRESENTS,Symptom::D015746
14162,Disease::DOID:2994,PRESENTS,Symptom::D001259
14163,Disease::DOID:986,PRESENTS,Symptom::D011538
14164,Disease::DOID:263,PRESENTS,Symptom::D000006
14165,Disease::DOID:7693,PRESENTS,Symptom::D002303
14166,Disease::DOID:1826,PRESENTS,Symptom::D004421
14167,Disease::DOID:418,PRESENTS,Symptom::D004417
14168,Disease::DOID:1192,PRESENTS,Symptom::D015875
14169,Disease::DOID:2841,PRESENTS,Symptom::D006985
14170,Disease::DOID:635,PRESENTS,Symptom::D000006
14171,Disease::DOID:2998,PRESENTS,Symptom::D005262
14172,Disease::DOID:1024,PRESENTS,Symptom::D005334
14173,Disease::DOID:1324,PRESENTS,Symptom::D009461
14174,Disease::DOID:4481,PRESENTS,Symptom::D012135
14175,Disease::DOID:2043,PRESENTS,Symptom::D011696
14176,Disease::DOID:10652,PRESENTS,Symptom::D007706
14177,Disease::DOID:8778,PRESENTS,Symptom::D015746
14178,Disease::DOID:6364,PRESENTS,Symptom::D006212
14179,Disease::DOID:1595,PRESENTS,Symptom::D019954
14180,Disease::DOID:7693,PRESENTS,Symptom::D010149
14181,Disease::DOID:12995,PRESENTS,Symptom::D011595
14182,Disease::DOID:12365,PRESENTS,Symptom::D002524
14183,Disease::DOID:585,PRESENTS,Symptom::D053584
14184,Disease::DOID:8986,PRESENTS,Symptom::D009290
14185,Disease::DOID:3083,PRESENTS,Symptom::D006985
14186,Disease::DOID:1115,PRESENTS,Symptom::D010146
14187,Disease::DOID:1909,PRESENTS,Symptom::D005221
14188,Disease::DOID:10941,PRESENTS,Symptom::D012607
14189,Disease::DOID:12930,PRESENTS,Symptom::D002639
14190,Disease::DOID:184,PRESENTS,Symptom::D014786
14191,Disease::DOID:784,PRESENTS,Symptom::D000787
14192,Disease::DOID:418,PRESENTS,Symptom::D005132
14193,Disease::DOID:7148,PRESENTS,Symptom::D005334
14194,Disease::DOID:11934,PRESENTS,Symptom::D046089
14195,Disease::DOID:2994,PRESENTS,Symptom::D001072
14196,Disease::DOID:3565,PRESENTS,Symptom::D006987
14197,Disease::DOID:184,PRESENTS,Symptom::D018908
14198,Disease::DOID:10534,PRESENTS,Symptom::D006606
14199,Disease::DOID:5041,PRESENTS,Symptom::D014840
14200,Disease::DOID:1793,PRESENTS,Symptom::D000860
14201,Disease::DOID:10608,PRESENTS,Symptom::D016553
14202,Disease::DOID:5559,PRESENTS,Symptom::D009207
14203,Disease::DOID:5408,PRESENTS,Symptom::D003128
14204,Disease::DOID:8778,PRESENTS,Symptom::D003967
14205,Disease::DOID:1319,PRESENTS,Symptom::D010291
14206,Disease::DOID:4989,PRESENTS,Symptom::D013746
14207,Disease::DOID:784,PRESENTS,Symptom::D001926
14208,Disease::DOID:3312,PRESENTS,Symptom::D012892
14209,Disease::DOID:3070,PRESENTS,Symptom::D010292
14210,Disease::DOID:10763,PRESENTS,Symptom::D000787
14211,Disease::DOID:12849,PRESENTS,Symptom::D002389
14212,Disease::DOID:10608,PRESENTS,Symptom::D002524
14213,Disease::DOID:1595,PRESENTS,Symptom::D005926
14214,Disease::DOID:10941,PRESENTS,Symptom::D003128
14215,Disease::DOID:2994,PRESENTS,Symptom::D005862
14216,Disease::DOID:14268,PRESENTS,Symptom::D007565
14217,Disease::DOID:8577,PRESENTS,Symptom::D011693
14218,Disease::DOID:12849,PRESENTS,Symptom::D020238
14219,Disease::DOID:12236,PRESENTS,Symptom::D005222
14220,Disease::DOID:13241,PRESENTS,Symptom::D012166
14221,Disease::DOID:9296,PRESENTS,Symptom::D004314
14222,Disease::DOID:11054,PRESENTS,Symptom::D053202
14223,Disease::DOID:1115,PRESENTS,Symptom::D006930
14224,Disease::DOID:13189,PRESENTS,Symptom::D010146
14225,Disease::DOID:1245,PRESENTS,Symptom::D017699
14226,Disease::DOID:11949,PRESENTS,Symptom::D020234
14227,Disease::DOID:11054,PRESENTS,Symptom::D011782
14228,Disease::DOID:3312,PRESENTS,Symptom::D014202
14229,Disease::DOID:1319,PRESENTS,Symptom::D000849
14230,Disease::DOID:418,PRESENTS,Symptom::D018589
14231,Disease::DOID:2998,PRESENTS,Symptom::D006396
14232,Disease::DOID:263,PRESENTS,Symptom::D008607
14233,Disease::DOID:8778,PRESENTS,Symptom::D005335
14234,Disease::DOID:6364,PRESENTS,Symptom::D014839
14235,Disease::DOID:9296,PRESENTS,Symptom::D009058
14236,Disease::DOID:2043,PRESENTS,Symptom::D008607
14237,Disease::DOID:10652,PRESENTS,Symptom::D004314
14238,Disease::DOID:219,PRESENTS,Symptom::D005414
14239,Disease::DOID:1826,PRESENTS,Symptom::D019575
14240,Disease::DOID:1094,PRESENTS,Symptom::D017109
14241,Disease::DOID:1909,PRESENTS,Symptom::D014008
14242,Disease::DOID:13223,PRESENTS,Symptom::D003248
14243,Disease::DOID:8398,PRESENTS,Symptom::D010149
14244,Disease::DOID:8986,PRESENTS,Symptom::D012891
14245,Disease::DOID:5041,PRESENTS,Symptom::D005483
14246,Disease::DOID:3121,PRESENTS,Symptom::D003085
14247,Disease::DOID:4481,PRESENTS,Symptom::D011602
14248,Disease::DOID:3070,PRESENTS,Symptom::D012640
14249,Disease::DOID:332,PRESENTS,Symptom::D014826
14250,Disease::DOID:3571,PRESENTS,Symptom::D004438
14251,Disease::DOID:9074,PRESENTS,Symptom::D001750
14252,Disease::DOID:3070,PRESENTS,Symptom::D014717
14253,Disease::DOID:1993,PRESENTS,Symptom::D005414
14254,Disease::DOID:1993,PRESENTS,Symptom::D003967
14255,Disease::DOID:13223,PRESENTS,Symptom::D003085
14256,Disease::DOID:2377,PRESENTS,Symptom::D009122
14257,Disease::DOID:12361,PRESENTS,Symptom::D006942
14258,Disease::DOID:10763,PRESENTS,Symptom::D050177
14259,Disease::DOID:1192,PRESENTS,Symptom::D006261
14260,Disease::DOID:14330,PRESENTS,Symptom::D013494
14261,Disease::DOID:9296,PRESENTS,Symptom::D006472
14262,Disease::DOID:1781,PRESENTS,Symptom::D014832
14263,Disease::DOID:12185,PRESENTS,Symptom::D004244
14264,Disease::DOID:12306,PRESENTS,Symptom::D006311
14265,Disease::DOID:10283,PRESENTS,Symptom::D059411
14266,Disease::DOID:7148,PRESENTS,Symptom::D011782
14267,Disease::DOID:784,PRESENTS,Symptom::D011537
14268,Disease::DOID:1936,PRESENTS,Symptom::D050177
14269,Disease::DOID:2841,PRESENTS,Symptom::D006685
14270,Disease::DOID:2994,PRESENTS,Symptom::D010291
14271,Disease::DOID:8986,PRESENTS,Symptom::D017593
14272,Disease::DOID:10652,PRESENTS,Symptom::D000381
14273,Disease::DOID:13241,PRESENTS,Symptom::D018908
14274,Disease::DOID:90,PRESENTS,Symptom::D012585
14275,Disease::DOID:12185,PRESENTS,Symptom::D006312
14276,Disease::DOID:3083,PRESENTS,Symptom::D006935
14277,Disease::DOID:11934,PRESENTS,Symptom::D019547
14278,Disease::DOID:5419,PRESENTS,Symptom::D007806
14279,Disease::DOID:12185,PRESENTS,Symptom::D011304
14280,Disease::DOID:1024,PRESENTS,Symptom::D005158
14281,Disease::DOID:3070,PRESENTS,Symptom::D010243
14282,Disease::DOID:7148,PRESENTS,Symptom::D013651
14283,Disease::DOID:3083,PRESENTS,Symptom::D007040
14284,Disease::DOID:2994,PRESENTS,Symptom::D013575
14285,Disease::DOID:10941,PRESENTS,Symptom::D014474
14286,Disease::DOID:5419,PRESENTS,Symptom::D002375
14287,Disease::DOID:11949,PRESENTS,Symptom::D006212
14288,Disease::DOID:10941,PRESENTS,Symptom::D003221
14289,Disease::DOID:1319,PRESENTS,Symptom::D006606
14290,Disease::DOID:11949,PRESENTS,Symptom::D034062
14291,Disease::DOID:9835,PRESENTS,Symptom::D003638
14292,Disease::DOID:2394,PRESENTS,Symptom::D004487
14293,Disease::DOID:1790,PRESENTS,Symptom::D003128
14294,Disease::DOID:2531,PRESENTS,Symptom::D014839
14295,Disease::DOID:2377,PRESENTS,Symptom::D009222
14296,Disease::DOID:1459,PRESENTS,Symptom::D005221
14297,Disease::DOID:1909,PRESENTS,Symptom::D003967
14298,Disease::DOID:1595,PRESENTS,Symptom::D006963
14299,Disease::DOID:8398,PRESENTS,Symptom::D059226
14300,Disease::DOID:5559,PRESENTS,Symptom::D004417
14301,Disease::DOID:3070,PRESENTS,Symptom::D002524
14302,Disease::DOID:3070,PRESENTS,Symptom::D010291
14303,Disease::DOID:3953,PRESENTS,Symptom::D005334
14304,Disease::DOID:14330,PRESENTS,Symptom::D053158
14305,Disease::DOID:2377,PRESENTS,Symptom::D004244
14306,Disease::DOID:10652,PRESENTS,Symptom::D008569
14307,Disease::DOID:2986,PRESENTS,Symptom::D016553
14308,Disease::DOID:2994,PRESENTS,Symptom::D006315
14309,Disease::DOID:635,PRESENTS,Symptom::D011696
14310,Disease::DOID:2841,PRESENTS,Symptom::D001049
14311,Disease::DOID:1686,PRESENTS,Symptom::D015877
14312,Disease::DOID:363,PRESENTS,Symptom::D000860
14313,Disease::DOID:14330,PRESENTS,Symptom::D009325
14314,Disease::DOID:594,PRESENTS,Symptom::D009041
14315,Disease::DOID:1826,PRESENTS,Symptom::D038901
14316,Disease::DOID:12361,PRESENTS,Symptom::D011782
14317,Disease::DOID:1459,PRESENTS,Symptom::D002524
14318,Disease::DOID:14330,PRESENTS,Symptom::D003693
14319,Disease::DOID:4606,PRESENTS,Symptom::D041781
14320,Disease::DOID:12849,PRESENTS,Symptom::D001072
14321,Disease::DOID:2174,PRESENTS,Symptom::D000550
14322,Disease::DOID:784,PRESENTS,Symptom::D009133
14323,Disease::DOID:1319,PRESENTS,Symptom::D004614
14324,Disease::DOID:1319,PRESENTS,Symptom::D034381
14325,Disease::DOID:10534,PRESENTS,Symptom::D011696
14326,Disease::DOID:6364,PRESENTS,Symptom::D009903
14327,Disease::DOID:986,PRESENTS,Symptom::D006311
14328,Disease::DOID:2994,PRESENTS,Symptom::D014012
14329,Disease::DOID:1790,PRESENTS,Symptom::D009325
14330,Disease::DOID:1826,PRESENTS,Symptom::D003128
14331,Disease::DOID:8893,PRESENTS,Symptom::D011538
14332,Disease::DOID:175,PRESENTS,Symptom::D007383
14333,Disease::DOID:2377,PRESENTS,Symptom::D006423
14334,Disease::DOID:5041,PRESENTS,Symptom::D003371
14335,Disease::DOID:363,PRESENTS,Symptom::D014549
14336,Disease::DOID:1319,PRESENTS,Symptom::D002819
14337,Disease::DOID:10941,PRESENTS,Symptom::D014012
14338,Disease::DOID:2377,PRESENTS,Symptom::D004401
14339,Disease::DOID:11612,PRESENTS,Symptom::D002032
14340,Disease::DOID:8398,PRESENTS,Symptom::D012585
14341,Disease::DOID:9970,PRESENTS,Symptom::D006963
14342,Disease::DOID:332,PRESENTS,Symptom::D020336
14343,Disease::DOID:9970,PRESENTS,Symptom::D009765
14344,Disease::DOID:1686,PRESENTS,Symptom::D058447
14345,Disease::DOID:2994,PRESENTS,Symptom::D015160
14346,Disease::DOID:1936,PRESENTS,Symptom::D000860
14347,Disease::DOID:3083,PRESENTS,Symptom::D002100
14348,Disease::DOID:1909,PRESENTS,Symptom::D009755
14349,Disease::DOID:1909,PRESENTS,Symptom::D004172
14350,Disease::DOID:8577,PRESENTS,Symptom::D003635
14351,Disease::DOID:12849,PRESENTS,Symptom::D000377
14352,Disease::DOID:9352,PRESENTS,Symptom::D005483
14353,Disease::DOID:9835,PRESENTS,Symptom::D001766
14354,Disease::DOID:4989,PRESENTS,Symptom::D004487
14355,Disease::DOID:3277,PRESENTS,Symptom::D006469
14356,Disease::DOID:594,PRESENTS,Symptom::D008065
14357,Disease::DOID:9835,PRESENTS,Symptom::D019591
14358,Disease::DOID:1324,PRESENTS,Symptom::D020069
14359,Disease::DOID:3070,PRESENTS,Symptom::D004401
14360,Disease::DOID:1909,PRESENTS,Symptom::D004487
14361,Disease::DOID:2994,PRESENTS,Symptom::D020182
14362,Disease::DOID:9352,PRESENTS,Symptom::D054058
14363,Disease::DOID:11949,PRESENTS,Symptom::D004401
14364,Disease::DOID:1826,PRESENTS,Symptom::D009207
14365,Disease::DOID:184,PRESENTS,Symptom::D020069
14366,Disease::DOID:1459,PRESENTS,Symptom::D006311
14367,Disease::DOID:3277,PRESENTS,Symptom::D009123
14368,Disease::DOID:13378,PRESENTS,Symptom::D006337
14369,Disease::DOID:2355,PRESENTS,Symptom::D007565
14370,Disease::DOID:10871,PRESENTS,Symptom::D014823
14371,Disease::DOID:1612,PRESENTS,Symptom::D001247
14372,Disease::DOID:594,PRESENTS,Symptom::D002032
14373,Disease::DOID:2994,PRESENTS,Symptom::D005157
14374,Disease::DOID:2377,PRESENTS,Symptom::D054972
14375,Disease::DOID:9970,PRESENTS,Symptom::D010845
14376,Disease::DOID:0060119,PRESENTS,Symptom::D009437
14377,Disease::DOID:1094,PRESENTS,Symptom::D001072
14378,Disease::DOID:1612,PRESENTS,Symptom::D019584
14379,Disease::DOID:363,PRESENTS,Symptom::D001750
14380,Disease::DOID:4989,PRESENTS,Symptom::D015746
14381,Disease::DOID:1324,PRESENTS,Symptom::D012135
14382,Disease::DOID:12306,PRESENTS,Symptom::D004421
14383,Disease::DOID:1993,PRESENTS,Symptom::D011537
14384,Disease::DOID:11934,PRESENTS,Symptom::D009912
14385,Disease::DOID:8986,PRESENTS,Symptom::D010845
14386,Disease::DOID:0050425,PRESENTS,Symptom::D007319
14387,Disease::DOID:1115,PRESENTS,Symptom::D004487
14388,Disease::DOID:175,PRESENTS,Symptom::D002637
14389,Disease::DOID:5041,PRESENTS,Symptom::D002637
14390,Disease::DOID:13241,PRESENTS,Symptom::D006469
14391,Disease::DOID:11555,PRESENTS,Symptom::D014786
14392,Disease::DOID:0050425,PRESENTS,Symptom::D017827
14393,Disease::DOID:175,PRESENTS,Symptom::D010291
14394,Disease::DOID:3953,PRESENTS,Symptom::D004438
14395,Disease::DOID:13378,PRESENTS,Symptom::D011696
14396,Disease::DOID:14221,PRESENTS,Symptom::D050177
14397,Disease::DOID:2355,PRESENTS,Symptom::D002637
14398,Disease::DOID:1115,PRESENTS,Symptom::D001416
14399,Disease::DOID:9835,PRESENTS,Symptom::D009755
14400,Disease::DOID:8398,PRESENTS,Symptom::D017116
14401,Disease::DOID:7148,PRESENTS,Symptom::D004487
14402,Disease::DOID:6364,PRESENTS,Symptom::D018908
14403,Disease::DOID:2377,PRESENTS,Symptom::D005221
14404,Disease::DOID:12849,PRESENTS,Symptom::D009155
14405,Disease::DOID:784,PRESENTS,Symptom::D004415
14406,Disease::DOID:332,PRESENTS,Symptom::D018908
14407,Disease::DOID:1319,PRESENTS,Symptom::D001037
14408,Disease::DOID:0060119,PRESENTS,Symptom::D006319
14409,Disease::DOID:2994,PRESENTS,Symptom::D003968
14410,Disease::DOID:10153,PRESENTS,Symptom::D003967
14411,Disease::DOID:14268,PRESENTS,Symptom::D041781
14412,Disease::DOID:3953,PRESENTS,Symptom::D015746
14413,Disease::DOID:1595,PRESENTS,Symptom::D048949
14414,Disease::DOID:9744,PRESENTS,Symptom::D001750
14415,Disease::DOID:3565,PRESENTS,Symptom::D003221
14416,Disease::DOID:3070,PRESENTS,Symptom::D006606
14417,Disease::DOID:1115,PRESENTS,Symptom::D010243
14418,Disease::DOID:1612,PRESENTS,Symptom::D005334
14419,Disease::DOID:1595,PRESENTS,Symptom::D005183
14420,Disease::DOID:8778,PRESENTS,Symptom::D003248
14421,Disease::DOID:5408,PRESENTS,Symptom::D009912
14422,Disease::DOID:8577,PRESENTS,Symptom::D012877
14423,Disease::DOID:13223,PRESENTS,Symptom::D006396
14424,Disease::DOID:0050741,PRESENTS,Symptom::D000472
14425,Disease::DOID:184,PRESENTS,Symptom::D014012
14426,Disease::DOID:0050741,PRESENTS,Symptom::D006963
14427,Disease::DOID:1595,PRESENTS,Symptom::D001247
14428,Disease::DOID:363,PRESENTS,Symptom::D014840
14429,Disease::DOID:0050741,PRESENTS,Symptom::D007319
14430,Disease::DOID:2994,PRESENTS,Symptom::D019569
14431,Disease::DOID:2531,PRESENTS,Symptom::D005335
14432,Disease::DOID:0060119,PRESENTS,Symptom::D005132
14433,Disease::DOID:1094,PRESENTS,Symptom::D007859
14434,Disease::DOID:12306,PRESENTS,Symptom::D016553
14435,Disease::DOID:3393,PRESENTS,Symptom::D007383
14436,Disease::DOID:4481,PRESENTS,Symptom::D003371
14437,Disease::DOID:12185,PRESENTS,Symptom::D013651
14438,Disease::DOID:0050741,PRESENTS,Symptom::D012893
14439,Disease::DOID:9352,PRESENTS,Symptom::D000419
14440,Disease::DOID:12849,PRESENTS,Symptom::D006948
14441,Disease::DOID:2377,PRESENTS,Symptom::D009461
14442,Disease::DOID:1826,PRESENTS,Symptom::D020754
14443,Disease::DOID:1192,PRESENTS,Symptom::D006313
14444,Disease::DOID:10652,PRESENTS,Symptom::D000377
14445,Disease::DOID:10941,PRESENTS,Symptom::D015875
14446,Disease::DOID:11119,PRESENTS,Symptom::D007806
14447,Disease::DOID:1324,PRESENTS,Symptom::D010148
14448,Disease::DOID:594,PRESENTS,Symptom::D011602
14449,Disease::DOID:1324,PRESENTS,Symptom::D004408
14450,Disease::DOID:4045,PRESENTS,Symptom::D005130
14451,Disease::DOID:7148,PRESENTS,Symptom::D011507
14452,Disease::DOID:12849,PRESENTS,Symptom::D003635
14453,Disease::DOID:3571,PRESENTS,Symptom::D000006
14454,Disease::DOID:1115,PRESENTS,Symptom::D010291
14455,Disease::DOID:12361,PRESENTS,Symptom::D012607
14456,Disease::DOID:3571,PRESENTS,Symptom::D005335
14457,Disease::DOID:7147,PRESENTS,Symptom::D010146
14458,Disease::DOID:10941,PRESENTS,Symptom::D005158
14459,Disease::DOID:8986,PRESENTS,Symptom::D038921
14460,Disease::DOID:0060119,PRESENTS,Symptom::D000857
14461,Disease::DOID:12185,PRESENTS,Symptom::D016532
14462,Disease::DOID:2596,PRESENTS,Symptom::D006469
14463,Disease::DOID:7693,PRESENTS,Symptom::D020335
14464,Disease::DOID:90,PRESENTS,Symptom::D010146
14465,Disease::DOID:14330,PRESENTS,Symptom::D006948
14466,Disease::DOID:9296,PRESENTS,Symptom::D005183
14467,Disease::DOID:11949,PRESENTS,Symptom::D001041
14468,Disease::DOID:11934,PRESENTS,Symptom::D006685
14469,Disease::DOID:1324,PRESENTS,Symptom::D002100
14470,Disease::DOID:10941,PRESENTS,Symptom::D011782
14471,Disease::DOID:1686,PRESENTS,Symptom::D019591
14472,Disease::DOID:5419,PRESENTS,Symptom::D059607
14473,Disease::DOID:784,PRESENTS,Symptom::D011141
14474,Disease::DOID:7148,PRESENTS,Symptom::D019873
14475,Disease::DOID:11949,PRESENTS,Symptom::D018908
14476,Disease::DOID:3571,PRESENTS,Symptom::D005483
14477,Disease::DOID:175,PRESENTS,Symptom::D015746
14478,Disease::DOID:2994,PRESENTS,Symptom::D000006
14479,Disease::DOID:1790,PRESENTS,Symptom::D015746
14480,Disease::DOID:594,PRESENTS,Symptom::D006212
14481,Disease::DOID:2355,PRESENTS,Symptom::D003967
14482,Disease::DOID:1094,PRESENTS,Symptom::D006970
14483,Disease::DOID:11934,PRESENTS,Symptom::D014098
14484,Disease::DOID:1826,PRESENTS,Symptom::D013035
14485,Disease::DOID:175,PRESENTS,Symptom::D006469
14486,Disease::DOID:6364,PRESENTS,Symptom::D002524
14487,Disease::DOID:1793,PRESENTS,Symptom::D015746
14488,Disease::DOID:4045,PRESENTS,Symptom::D020069
14489,Disease::DOID:12306,PRESENTS,Symptom::D046088
14490,Disease::DOID:14004,PRESENTS,Symptom::D002303
14491,Disease::DOID:11934,PRESENTS,Symptom::D012135
14492,Disease::DOID:9352,PRESENTS,Symptom::D056128
14493,Disease::DOID:8850,PRESENTS,Symptom::D010292
14494,Disease::DOID:219,PRESENTS,Symptom::D000006
14495,Disease::DOID:13378,PRESENTS,Symptom::D004487
14496,Disease::DOID:10941,PRESENTS,Symptom::D004172
14497,Disease::DOID:219,PRESENTS,Symptom::D014840
14498,Disease::DOID:11949,PRESENTS,Symptom::D018476
14499,Disease::DOID:1324,PRESENTS,Symptom::D009325
14500,Disease::DOID:2994,PRESENTS,Symptom::D004438
14501,Disease::DOID:10021,PRESENTS,Symptom::D015746
14502,Disease::DOID:2531,PRESENTS,Symptom::D010146
14503,Disease::DOID:11054,PRESENTS,Symptom::D059411
14504,Disease::DOID:14330,PRESENTS,Symptom::D020886
14505,Disease::DOID:1993,PRESENTS,Symptom::D017699
14506,Disease::DOID:4362,PRESENTS,Symptom::D010148
14507,Disease::DOID:184,PRESENTS,Symptom::D004438
14508,Disease::DOID:14004,PRESENTS,Symptom::D004438
14509,Disease::DOID:3953,PRESENTS,Symptom::D013575
14510,Disease::DOID:4362,PRESENTS,Symptom::D014839
14511,Disease::DOID:1595,PRESENTS,Symptom::D017288
14512,Disease::DOID:184,PRESENTS,Symptom::D015354
14513,Disease::DOID:2174,PRESENTS,Symptom::D011681
14514,Disease::DOID:9074,PRESENTS,Symptom::D011782
14515,Disease::DOID:4159,PRESENTS,Symptom::D006930
14516,Disease::DOID:2994,PRESENTS,Symptom::D003639
14517,Disease::DOID:4989,PRESENTS,Symptom::D007035
14518,Disease::DOID:2394,PRESENTS,Symptom::D014840
14519,Disease::DOID:784,PRESENTS,Symptom::D009120
14520,Disease::DOID:13223,PRESENTS,Symptom::D000006
14521,Disease::DOID:184,PRESENTS,Symptom::D005157
14522,Disease::DOID:1324,PRESENTS,Symptom::D005157
14523,Disease::DOID:14221,PRESENTS,Symptom::D001835
14524,Disease::DOID:5408,PRESENTS,Symptom::D017116
14525,Disease::DOID:3953,PRESENTS,Symptom::D010149
14526,Disease::DOID:1094,PRESENTS,Symptom::D007088
14527,Disease::DOID:1115,PRESENTS,Symptom::D006987
14528,Disease::DOID:332,PRESENTS,Symptom::D012133
14529,Disease::DOID:0050741,PRESENTS,Symptom::D003128
14530,Disease::DOID:2377,PRESENTS,Symptom::D012133
14531,Disease::DOID:11119,PRESENTS,Symptom::D004454
14532,Disease::DOID:2998,PRESENTS,Symptom::D010292
14533,Disease::DOID:635,PRESENTS,Symptom::D010146
14534,Disease::DOID:90,PRESENTS,Symptom::D001416
14535,Disease::DOID:10871,PRESENTS,Symptom::D004172
14536,Disease::DOID:1319,PRESENTS,Symptom::D011681
14537,Disease::DOID:1964,PRESENTS,Symptom::D017699
14538,Disease::DOID:8778,PRESENTS,Symptom::D004487
14539,Disease::DOID:14330,PRESENTS,Symptom::D006970
14540,Disease::DOID:3070,PRESENTS,Symptom::D014786
14541,Disease::DOID:13223,PRESENTS,Symptom::D005334
14542,Disease::DOID:11920,PRESENTS,Symptom::D014826
14543,Disease::DOID:14221,PRESENTS,Symptom::D015430
14544,Disease::DOID:6364,PRESENTS,Symptom::D007088
14545,Disease::DOID:0060119,PRESENTS,Symptom::D009886
14546,Disease::DOID:8778,PRESENTS,Symptom::D010149
14547,Disease::DOID:5875,PRESENTS,Symptom::D017699
14548,Disease::DOID:5408,PRESENTS,Symptom::D017699
14549,Disease::DOID:2531,PRESENTS,Symptom::D009325
14550,Disease::DOID:585,PRESENTS,Symptom::D011782
14551,Disease::DOID:10871,PRESENTS,Symptom::D012166
14552,Disease::DOID:6364,PRESENTS,Symptom::D011602
14553,Disease::DOID:7148,PRESENTS,Symptom::D010591
14554,Disease::DOID:10941,PRESENTS,Symptom::D010243
14555,Disease::DOID:784,PRESENTS,Symptom::D006316
14556,Disease::DOID:3070,PRESENTS,Symptom::D001037
14557,Disease::DOID:6364,PRESENTS,Symptom::D006732
14558,Disease::DOID:12361,PRESENTS,Symptom::D018908
14559,Disease::DOID:90,PRESENTS,Symptom::D010149
14560,Disease::DOID:5041,PRESENTS,Symptom::D004417
14561,Disease::DOID:10871,PRESENTS,Symptom::D058447
14562,Disease::DOID:9744,PRESENTS,Symptom::D006316
14563,Disease::DOID:10941,PRESENTS,Symptom::D005132
14564,Disease::DOID:3312,PRESENTS,Symptom::D004421
14565,Disease::DOID:9296,PRESENTS,Symptom::D007859
14566,Disease::DOID:3393,PRESENTS,Symptom::D004489
14567,Disease::DOID:1319,PRESENTS,Symptom::D006429
14568,Disease::DOID:5559,PRESENTS,Symptom::D006396
14569,Disease::DOID:184,PRESENTS,Symptom::D009437
14570,Disease::DOID:11714,PRESENTS,Symptom::D020567
14571,Disease::DOID:5408,PRESENTS,Symptom::D006312
14572,Disease::DOID:8850,PRESENTS,Symptom::D010243
14573,Disease::DOID:0060119,PRESENTS,Symptom::D020385
14574,Disease::DOID:14268,PRESENTS,Symptom::D006942
14575,Disease::DOID:11054,PRESENTS,Symptom::D001750
14576,Disease::DOID:363,PRESENTS,Symptom::D006939
